experiment,setsize,errorrad
Exp1,1,0.2865621788958211
Exp1,2,0.3221151821771871
Exp1,3,0.3671406989202317
Exp1,4,0.4720842142004035
Exp1,5,0.610442580117048
Exp1,6,0.6897034014184429
Exp1,7,0.8090172914515026
Exp1,8,0.9586382521139224
Exp2,1,0.23637394031046124
Exp2,2,0.3500294175900711
Exp2,3,0.4923737444493378
Exp2,4,0.6515714068981747
Exp2,5,0.7523187199182432
Exp2,6,0.8840001758786069
Exp2,7,1.0041733670836333
Exp2,8,1.0622964672776527
ExpS3,1,0.23360560757462562
ExpS3,2,0.33710711293149737
ExpS3,3,0.452219284394941
ExpS3,4,0.6069370042690253
ExpS3,5,0.6906481665406051
ExpS3,6,0.9166210664177626
ExpS3,7,0.9768374118355727
ExpS3,8,0.973306973747493
