,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.827,0.103,0.619,1.017,0.002,0.002,3903.0,2691.0,1.0
beta,-0.336,0.004,-0.343,-0.329,0.0,0.0,6604.0,3217.0,1.0
alpha_participant[0],1.088,0.021,1.047,1.125,0.0,0.0,5373.0,2918.0,1.0
alpha_participant[1],0.758,0.021,0.72,0.8,0.0,0.0,5483.0,3164.0,1.0
alpha_participant[2],0.382,0.022,0.342,0.425,0.0,0.0,5239.0,2837.0,1.0
alpha_participant[3],0.879,0.021,0.84,0.92,0.0,0.0,5693.0,2491.0,1.0
alpha_participant[4],0.556,0.022,0.519,0.6,0.0,0.0,6048.0,3273.0,1.0
alpha_participant[5],1.287,0.02,1.25,1.326,0.0,0.0,6135.0,2881.0,1.0
alpha_participant[6],0.839,0.033,0.779,0.901,0.0,0.001,4986.0,3084.0,1.0
alpha_participant[7],0.487,0.035,0.425,0.558,0.0,0.001,5445.0,2800.0,1.0
alpha_participant[8],0.785,0.034,0.722,0.849,0.0,0.001,5128.0,2822.0,1.0
alpha_participant[9],0.3,0.036,0.23,0.366,0.0,0.001,5839.0,2780.0,1.0
alpha_participant[10],1.172,0.032,1.109,1.232,0.0,0.001,5133.0,2943.0,1.0
alpha_participant[11],0.98,0.034,0.919,1.045,0.0,0.001,5280.0,2771.0,1.0
alpha_participant[12],1.27,0.032,1.21,1.328,0.0,0.001,4983.0,2809.0,1.0
sigma_alpha,0.368,0.086,0.236,0.529,0.002,0.002,3823.0,2676.0,1.0
