,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.864,0.102,0.684,1.067,0.003,0.003,983.0,1328.0,1.01
alpha_offset[0],0.719,0.325,0.092,1.298,0.01,0.008,995.0,1456.0,1.0
alpha_offset[1],-0.2,0.291,-0.8,0.302,0.009,0.007,989.0,1371.0,1.0
alpha_offset[2],-1.298,0.397,-2.048,-0.564,0.013,0.008,996.0,1482.0,1.0
alpha_offset[3],0.162,0.292,-0.385,0.698,0.009,0.007,991.0,1447.0,1.0
alpha_offset[4],-0.745,0.33,-1.389,-0.157,0.011,0.007,981.0,1370.0,1.0
alpha_offset[5],1.293,0.397,0.575,2.051,0.013,0.009,954.0,1529.0,1.0
alpha_offset[6],0.004,0.299,-0.551,0.556,0.009,0.007,1037.0,1582.0,1.0
alpha_offset[7],-0.981,0.361,-1.659,-0.312,0.011,0.007,1012.0,1561.0,1.0
alpha_offset[8],-0.133,0.299,-0.713,0.406,0.009,0.007,1032.0,1507.0,1.0
alpha_offset[9],-1.539,0.437,-2.359,-0.716,0.014,0.008,1014.0,1615.0,1.0
alpha_offset[10],0.988,0.361,0.336,1.675,0.011,0.008,1026.0,1483.0,1.0
alpha_offset[11],0.477,0.312,-0.105,1.051,0.01,0.008,1033.0,1539.0,1.0
alpha_offset[12],1.238,0.393,0.531,1.991,0.012,0.009,1028.0,1546.0,1.0
beta_raw[0],1.361,0.177,1.028,1.687,0.006,0.004,1037.0,1291.0,1.0
beta_raw[1],0.82,0.177,0.479,1.137,0.005,0.004,1036.0,1332.0,1.0
beta_raw[2],0.375,0.177,0.04,0.703,0.006,0.004,1027.0,1328.0,1.0
beta_raw[3],-0.034,0.177,-0.375,0.285,0.005,0.004,1040.0,1326.0,1.0
beta_raw[4],-0.247,0.177,-0.585,0.074,0.006,0.004,1029.0,1276.0,1.0
beta_raw[5],-0.58,0.177,-0.911,-0.252,0.006,0.004,1028.0,1412.0,1.0
beta_raw[6],-0.782,0.177,-1.123,-0.462,0.005,0.004,1044.0,1366.0,1.0
beta_raw[7],-0.936,0.178,-1.273,-0.613,0.006,0.004,1035.0,1378.0,1.0
sigma_alpha,0.354,0.084,0.22,0.507,0.003,0.002,979.0,1236.0,1.0
alpha_participant[0],1.107,0.02,1.071,1.148,0.0,0.0,10241.0,6759.0,1.0
alpha_participant[1],0.797,0.021,0.758,0.837,0.0,0.0,10668.0,6789.0,1.0
alpha_participant[2],0.426,0.023,0.382,0.47,0.0,0.0,10306.0,7131.0,1.0
alpha_participant[3],0.919,0.021,0.879,0.957,0.0,0.0,10876.0,6518.0,1.0
alpha_participant[4],0.613,0.022,0.571,0.654,0.0,0.0,11013.0,6582.0,1.0
alpha_participant[5],1.301,0.02,1.263,1.337,0.0,0.0,9695.0,7130.0,1.0
alpha_participant[6],0.865,0.034,0.802,0.928,0.0,0.0,7824.0,5760.0,1.0
alpha_participant[7],0.533,0.035,0.469,0.6,0.0,0.0,9628.0,6059.0,1.0
alpha_participant[8],0.819,0.033,0.757,0.878,0.0,0.0,7859.0,5237.0,1.0
alpha_participant[9],0.345,0.037,0.278,0.418,0.0,0.0,9857.0,6607.0,1.0
alpha_participant[10],1.198,0.032,1.138,1.256,0.0,0.0,10374.0,6083.0,1.0
alpha_participant[11],1.025,0.032,0.964,1.084,0.0,0.0,8505.0,5517.0,1.0
alpha_participant[12],1.282,0.031,1.224,1.341,0.0,0.0,11165.0,6767.0,1.0
beta_setsize[0],1.364,0.019,1.327,1.398,0.0,0.0,10189.0,5551.0,1.0
beta_setsize[1],0.823,0.018,0.789,0.857,0.0,0.0,9930.0,5305.0,1.0
beta_setsize[2],0.378,0.017,0.346,0.41,0.0,0.0,9861.0,6108.0,1.0
beta_setsize[3],-0.031,0.017,-0.063,0.003,0.0,0.0,8924.0,5579.0,1.0
beta_setsize[4],-0.244,0.018,-0.277,-0.21,0.0,0.0,9385.0,5608.0,1.0
beta_setsize[5],-0.578,0.02,-0.615,-0.542,0.0,0.0,9713.0,5282.0,1.0
beta_setsize[6],-0.779,0.021,-0.819,-0.74,0.0,0.0,10321.0,5240.0,1.0
beta_setsize[7],-0.933,0.023,-0.975,-0.891,0.0,0.0,9836.0,5347.0,1.0
