,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.695,0.094,0.53,0.875,0.001,0.002,4384.0,2968.0,1.0
alpha_participant[0],0.917,0.018,0.883,0.951,0.0,0.0,5870.0,2916.0,1.0
alpha_participant[1],0.61,0.019,0.574,0.646,0.0,0.0,5432.0,2987.0,1.0
alpha_participant[2],0.342,0.021,0.301,0.38,0.0,0.0,5374.0,3025.0,1.0
alpha_participant[3],0.665,0.018,0.629,0.698,0.0,0.0,5104.0,3270.0,1.0
alpha_participant[4],0.421,0.02,0.385,0.462,0.0,0.0,4977.0,2538.0,1.0
alpha_participant[5],1.023,0.019,0.987,1.056,0.0,0.0,4723.0,2951.0,1.0
alpha_participant[6],0.76,0.029,0.706,0.815,0.0,0.0,5588.0,3043.0,1.0
alpha_participant[7],0.378,0.033,0.317,0.438,0.0,0.001,5026.0,3034.0,1.0
alpha_participant[8],0.639,0.03,0.586,0.696,0.0,0.0,5384.0,3035.0,1.0
alpha_participant[9],0.207,0.036,0.144,0.281,0.0,0.001,5434.0,3043.0,1.0
alpha_participant[10],1.04,0.029,0.985,1.094,0.0,0.0,5061.0,3256.0,1.0
alpha_participant[11],0.925,0.029,0.871,0.979,0.0,0.0,5062.0,2844.0,1.0
alpha_participant[12],1.146,0.03,1.09,1.204,0.0,0.001,5948.0,3044.0,1.0
sigma_alpha,0.334,0.077,0.212,0.483,0.001,0.002,4289.0,2895.0,1.0
