participant,mean_error,predicted_error
1,0.5345966292337668,0.00017175355695799252
2,0.6586135065169181,-0.0001931623030065056
3,0.8022164947156399,-0.00035881369560653487
4,0.6349815530722374,-4.0742463230462436e-05
5,0.7544560156043959,0.0003544681088877529
6,0.47740127790675113,-0.0001787372733238871
7,0.60199718794772,0.0004163807844616968
8,0.7761665028863207,-0.00012986481176928855
9,0.6351261228235384,0.00010443069361388233
10,0.8705435661423104,-0.00020463273928538595
11,0.47909691978645275,-0.00021286513911125901
12,0.5261844485642164,-0.0002623546831034009
13,0.447240620823547,0.00012309041388014542
