participant,count,mean_error,median,std,se,ci95
1,4288,0.5345966292337668,0.331612557878922,0.6122274820168372,0.009349436412207106,0.018324895367925927
2,4288,0.6586135065169181,0.349065850398866,0.7526838319823722,0.011494370691157626,0.022528966554668947
3,4288,0.8022164947156399,0.488692190558412,0.812034587742842,0.012400726797830547,0.02430542452374787
4,4288,0.6349815530722374,0.349065850398866,0.7315241719532289,0.011171237702591532,0.021895625897079402
5,4288,0.7544560156043959,0.418879020478639,0.8149165916377525,0.012444738399639789,0.024391687263293986
6,4288,0.47740127790675113,0.261799387799149,0.6253897858703784,0.009550440330736603,0.01871886304824374
7,1728,0.60199718794772,0.383972435438752,0.6612122553935473,0.015906294735122672,0.031176337680840438
8,1728,0.7761665028863208,0.41887902047864,0.8161768173253798,0.019634162716214168,0.038482958923779766
9,1728,0.6351261228235384,0.314159265358979,0.7589637116997167,0.018257829302291206,0.03578534543249076
10,1728,0.8705435661423104,0.523598775598299,0.8538568101927447,0.02054060246725735,0.040259580835824406
11,1728,0.4790969197864527,0.279252680319093,0.5771949784558993,0.013885153174433904,0.02721490022189045
12,1728,0.5261844485642164,0.314159265358979,0.6243175290546766,0.015018745560813314,0.029436741299194095
13,1728,0.447240620823547,0.279252680319093,0.5417463378557615,0.013032391416396578,0.025543487176137292
